facet_id,name,category,score_direction,applicable_speaker,description,rubric_1,rubric_2,rubric_3,rubric_4,rubric_5,keywords
self-improvement,Self-improvement,personality,positive,user,"'Self-improvement' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'self-improvement'.",The turn shows no evidence of self-improvement; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of self-improvement; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays self-improvement, though not in an extreme form.","The turn is a textbook exemplar of self-improvement; pronounced, unambiguous, and central to the message.","self, improvement"
statistical-reasoning,Statistical Reasoning,cognition_reasoning,positive,both,"'Statistical Reasoning' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'statistical reasoning'.",No application of statistical reasoning; reasoning is absent or wrong.,Superficial or partial application of statistical reasoning.,Basic application of statistical reasoning sufficient for the turn.,"Clear, correct application of statistical reasoning with appropriate depth.","Sophisticated, fully-correct application of statistical reasoning; demonstrates mastery.","statistical, reasoning"
assertiveness-and-control-in-relationships,Assertiveness and control in relationships,personality,bipolar,both,"'Assertiveness and control in relationships' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'assertiveness and control in relationships'.",The turn shows no evidence of assertiveness and control in relationships; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of assertiveness and control in relationships; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays assertiveness and control in relationships, though not in an extreme form.","The turn is a textbook exemplar of assertiveness and control in relationships; pronounced, unambiguous, and central to the message.","assertiveness, and, control, relationships"
cunningness,Cunningness,personality,positive,both,"'Cunningness' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'cunningness'.",The turn shows no evidence of cunningness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of cunningness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays cunningness, though not in an extreme form.","The turn is a textbook exemplar of cunningness; pronounced, unambiguous, and central to the message.",cunningness
adventure-seeking-behavior,Adventure-Seeking Behavior,behavioral_lifestyle,positive,both,"'Adventure-Seeking Behavior' is a behavioral lifestyle facet. Definition context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'adventure-seeking behavior'.",No mention of adventure-seeking behavior or explicit denial.,Mentions of adventure-seeking behavior as occasional or rare.,Mentions of adventure-seeking behavior at typical / average frequency.,Clear pattern of adventure-seeking behavior as a regular activity.,adventure-seeking behavior is described as central to the speaker's lifestyle.,"adventure, seeking, behavior"
compassion-fatigue,Compassion Fatigue,emotion,positive,user,"'Compassion Fatigue' is a emotion facet. Definition context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'compassion fatigue'.",The turn expresses the opposite of compassion fatigue (e.g. cold where compassion fatigue is warm).,Little affective signal toward compassion fatigue.,Affect is neutral or unrelated to compassion fatigue.,"Clear emotional expression aligned with compassion fatigue, but controlled.",Highly expressive of compassion fatigue; the affect dominates the turn.,"compassion, fatigue"
moroseness,Moroseness,emotion,positive,user,"'Moroseness' is a emotion facet. Definition context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'moroseness'.",The turn expresses the opposite of moroseness (e.g. cold where moroseness is warm).,Little affective signal toward moroseness.,Affect is neutral or unrelated to moroseness.,"Clear emotional expression aligned with moroseness, but controlled.",Highly expressive of moroseness; the affect dominates the turn.,moroseness
specialist,Specialist,other,positive,assistant,"'Specialist' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'specialist'.",The turn shows no evidence of specialist; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of specialist; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays specialist, though not in an extreme form.","The turn is a textbook exemplar of specialist; pronounced, unambiguous, and central to the message.",specialist
aloofness,Aloofness,relational,positive,both,"'Aloofness' is a relational facet. Definition context: Interpersonal style and relationship dynamics: cooperation, conflict, trust, intimacy, control, attachment. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'aloofness'.",The turn shows no evidence of aloofness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of aloofness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays aloofness, though not in an extreme form.","The turn is a textbook exemplar of aloofness; pronounced, unambiguous, and central to the message.",aloofness
genuine,Genuine,other,positive,both,"'Genuine' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'genuine'.",The turn shows no evidence of genuine; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of genuine; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays genuine, though not in an extreme form.","The turn is a textbook exemplar of genuine; pronounced, unambiguous, and central to the message.",genuine
determinedness,Determinedness,personality,positive,both,"'Determinedness' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'determinedness'.",The turn shows no evidence of determinedness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of determinedness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays determinedness, though not in an extreme form.","The turn is a textbook exemplar of determinedness; pronounced, unambiguous, and central to the message.",determinedness
honesty-humility,Honesty Humility,personality,positive,both,"'Honesty Humility' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'honesty humility'.",The turn shows no evidence of honesty humility; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of honesty humility; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays honesty humility, though not in an extreme form.","The turn is a textbook exemplar of honesty humility; pronounced, unambiguous, and central to the message.","honesty, humility"
relationship-building-themes,Relationship Building Themes,relational,positive,both,"'Relationship Building Themes' is a relational facet. Definition context: Interpersonal style and relationship dynamics: cooperation, conflict, trust, intimacy, control, attachment. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'relationship building themes'.",The turn shows no evidence of relationship building themes; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of relationship building themes; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays relationship building themes, though not in an extreme form.","The turn is a textbook exemplar of relationship building themes; pronounced, unambiguous, and central to the message.","relationship, building, themes"
pure-challenge,Pure Challenge,other,positive,both,"'Pure Challenge' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'pure challenge'.",The turn shows no evidence of pure challenge; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of pure challenge; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays pure challenge, though not in an extreme form.","The turn is a textbook exemplar of pure challenge; pronounced, unambiguous, and central to the message.","pure, challenge"
numerical-reasoning-subcomponents,Numerical Reasoning Subcomponents,cognition_reasoning,positive,both,"'Numerical Reasoning Subcomponents' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'numerical reasoning subcomponents'.",No application of numerical reasoning subcomponents; reasoning is absent or wrong.,Superficial or partial application of numerical reasoning subcomponents.,Basic application of numerical reasoning subcomponents sufficient for the turn.,"Clear, correct application of numerical reasoning subcomponents with appropriate depth.","Sophisticated, fully-correct application of numerical reasoning subcomponents; demonstrates mastery.","numerical, reasoning, subcomponents"
openness,Openness,safety,bipolar,both,"'Openness' is a safety facet. Definition context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'openness'.",No safety concern related to openness; the turn is fully appropriate.,A faint or borderline indication of openness; not actionable on its own.,Mixed signals; could be read as openness depending on context.,A clear instance of openness; warrants review or mitigation.,An egregious instance of openness; immediate intervention warranted.,openness
self-esteem,Self Esteem,personality,positive,user,"'Self Esteem' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'self esteem'.",The turn shows no evidence of self esteem; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of self esteem; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays self esteem, though not in an extreme form.","The turn is a textbook exemplar of self esteem; pronounced, unambiguous, and central to the message.","self, esteem"
comparing-alphanumeric-data,Comparing alphanumeric data,other,positive,both,"'Comparing alphanumeric data' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'comparing alphanumeric data'.",The turn shows no evidence of comparing alphanumeric data; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of comparing alphanumeric data; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays comparing alphanumeric data, though not in an extreme form.","The turn is a textbook exemplar of comparing alphanumeric data; pronounced, unambiguous, and central to the message.","comparing, alphanumeric, data"
big-heartedness,Big-heartedness,relational,positive,both,"'Big-heartedness' is a relational facet. Definition context: Interpersonal style and relationship dynamics: cooperation, conflict, trust, intimacy, control, attachment. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'big-heartedness'.",The turn shows no evidence of big-heartedness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of big-heartedness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays big-heartedness, though not in an extreme form.","The turn is a textbook exemplar of big-heartedness; pronounced, unambiguous, and central to the message.","big, heartedness"
compulsive-activities,Compulsive activities,clinical_health,positive,both,"'Compulsive activities' is a clinical health facet. Definition context: Clinical, medical, or physiological signals: hormone levels, anatomical knowledge, symptoms, mental-health markers. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'compulsive activities'.",No clinical signal related to compulsive activities.,Faint or indirect signal of compulsive activities.,Ambiguous; clinical follow-up would be needed.,Strong textual signal of compulsive activities; clinically notable.,"Unambiguous, severe, or quantified expression of compulsive activities.","compulsive, activities"
disrespect,Disrespect,safety,positive,both,"'Disrespect' is a safety facet. Definition context: Risk, harm, toxicity, manipulation, deception, privacy violations, bias and fairness concerns. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'disrespect'.",No safety concern related to disrespect; the turn is fully appropriate.,A faint or borderline indication of disrespect; not actionable on its own.,Mixed signals; could be read as disrespect depending on context.,A clear instance of disrespect; warrants review or mitigation.,An egregious instance of disrespect; immediate intervention warranted.,disrespect
fsh-level,FSH level,clinical_health,positive,both,"'FSH level' is a clinical health facet. Definition context: Clinical, medical, or physiological signals: hormone levels, anatomical knowledge, symptoms, mental-health markers. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'fsh level'.",No clinical signal related to fsh level.,Faint or indirect signal of fsh level.,Ambiguous; clinical follow-up would be needed.,Strong textual signal of fsh level; clinically notable.,"Unambiguous, severe, or quantified expression of fsh level.","fsh, level"
self-perspective,Self Perspective,personality,positive,both,"'Self Perspective' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'self perspective'.",The turn shows no evidence of self perspective; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of self perspective; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays self perspective, though not in an extreme form.","The turn is a textbook exemplar of self perspective; pronounced, unambiguous, and central to the message.","self, perspective"
desperation,Desperation,other,positive,both,"'Desperation' is a other facet. Definition context: Catch-all for facets that don't fit the above categories. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'desperation'.",The turn shows no evidence of desperation; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of desperation; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays desperation, though not in an extreme form.","The turn is a textbook exemplar of desperation; pronounced, unambiguous, and central to the message.",desperation
affiliation-motivation,Affiliation Motivation,relational,positive,both,"'Affiliation Motivation' is a relational facet. Definition context: Interpersonal style and relationship dynamics: cooperation, conflict, trust, intimacy, control, attachment. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'affiliation motivation'.",The turn shows no evidence of affiliation motivation; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of affiliation motivation; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays affiliation motivation, though not in an extreme form.","The turn is a textbook exemplar of affiliation motivation; pronounced, unambiguous, and central to the message.","affiliation, motivation"
anatomy-knowledge,Anatomy knowledge,cognition_reasoning,positive,both,"'Anatomy knowledge' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'anatomy knowledge'.",No application of anatomy knowledge; reasoning is absent or wrong.,Superficial or partial application of anatomy knowledge.,Basic application of anatomy knowledge sufficient for the turn.,"Clear, correct application of anatomy knowledge with appropriate depth.","Sophisticated, fully-correct application of anatomy knowledge; demonstrates mastery.","anatomy, knowledge"
passive-aggressive,Passive-Aggressive,relational,positive,both,"'Passive-Aggressive' is a relational facet. Definition context: Interpersonal style and relationship dynamics: cooperation, conflict, trust, intimacy, control, attachment. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'passive-aggressive'.",The turn shows no evidence of passive-aggressive; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of passive-aggressive; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays passive-aggressive, though not in an extreme form.","The turn is a textbook exemplar of passive-aggressive; pronounced, unambiguous, and central to the message.","passive, aggressive"
presence-of-spiritual-pain,Presence of Spiritual Pain,clinical_health,positive,user,"'Presence of Spiritual Pain' is a clinical health facet. Definition context: Clinical, medical, or physiological signals: hormone levels, anatomical knowledge, symptoms, mental-health markers. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'presence of spiritual pain'.",No clinical signal related to presence of spiritual pain.,Faint or indirect signal of presence of spiritual pain.,Ambiguous; clinical follow-up would be needed.,Strong textual signal of presence of spiritual pain; clinically notable.,"Unambiguous, severe, or quantified expression of presence of spiritual pain.","presence, spiritual, pain"
role-of-spirituality-in-community-involvement,Role of Spirituality in Community Involvement,spirituality_culture,positive,both,"'Role of Spirituality in Community Involvement' is a spirituality culture facet. Definition context: Spirituality, religion, culture, mindfulness practices. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'role of spirituality in community involvement'.",No reference to role of spirituality in community involvement; turn is secular / unrelated.,Brief or implicit reference to role of spirituality in community involvement.,role of spirituality in community involvement is mentioned as part of the speaker's life.,role of spirituality in community involvement is clearly emphasised by the speaker.,role of spirituality in community involvement is the dominant frame of the turn.,"role, spirituality, community, involvement"
structure,Structure,relational,positive,assistant,"'Structure' is a relational facet. Definition context: Interpersonal style and relationship dynamics: cooperation, conflict, trust, intimacy, control, attachment. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'structure'.",The turn shows no evidence of structure; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of structure; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays structure, though not in an extreme form.","The turn is a textbook exemplar of structure; pronounced, unambiguous, and central to the message.",structure
eco-tourism-trips,Eco-tourism trips,behavioral_lifestyle,positive,both,"'Eco-tourism trips' is a behavioral lifestyle facet. Definition context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'eco-tourism trips'.",No mention of eco-tourism trips or explicit denial.,Mentions of eco-tourism trips as occasional or rare.,Mentions of eco-tourism trips at typical / average frequency.,Clear pattern of eco-tourism trips as a regular activity.,eco-tourism trips is described as central to the speaker's lifestyle.,"eco, tourism, trips"
chivalrousness,Chivalrousness,personality,positive,both,"'Chivalrousness' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'chivalrousness'.",The turn shows no evidence of chivalrousness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of chivalrousness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays chivalrousness, though not in an extreme form.","The turn is a textbook exemplar of chivalrousness; pronounced, unambiguous, and central to the message.",chivalrousness
pilgrimage-participation-count,Pilgrimage participation count,behavioral_lifestyle,positive,both,"'Pilgrimage participation count' is a behavioral lifestyle facet. Definition context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'pilgrimage participation count'.",No mention of pilgrimage participation count or explicit denial.,Mentions of pilgrimage participation count as occasional or rare.,Mentions of pilgrimage participation count at typical / average frequency.,Clear pattern of pilgrimage participation count as a regular activity.,pilgrimage participation count is described as central to the speaker's lifestyle.,"pilgrimage, participation, count"
mindfulness-facet-observing,Mindfulness facet: Observing,spirituality_culture,positive,both,"'Mindfulness facet: Observing' is a spirituality culture facet. Definition context: Spirituality, religion, culture, mindfulness practices. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'mindfulness facet: observing'.",No reference to mindfulness facet: observing; turn is secular / unrelated.,Brief or implicit reference to mindfulness facet: observing.,mindfulness facet: observing is mentioned as part of the speaker's life.,mindfulness facet: observing is clearly emphasised by the speaker.,mindfulness facet: observing is the dominant frame of the turn.,"mindfulness, facet:, observing"
submissiveness,Submissiveness,personality,positive,both,"'Submissiveness' is a personality facet. Definition context: Stable traits and dispositions: HEXACO/Big-Five facets, character strengths, virtues, leadership style. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'submissiveness'.",The turn shows no evidence of submissiveness; it actively contradicts the trait or shows the opposite.,The turn shows little evidence of submissiveness; only weak or indirect signals.,"Evidence is ambiguous, mixed, or the trait is not clearly applicable to this turn.","The turn clearly displays submissiveness, though not in an extreme form.","The turn is a textbook exemplar of submissiveness; pronounced, unambiguous, and central to the message.",submissiveness
training-cycle-length,Training-cycle length,behavioral_lifestyle,positive,both,"'Training-cycle length' is a behavioral lifestyle facet. Definition context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'training-cycle length'.",No mention of training-cycle length or explicit denial.,Mentions of training-cycle length as occasional or rare.,Mentions of training-cycle length at typical / average frequency.,Clear pattern of training-cycle length as a regular activity.,training-cycle length is described as central to the speaker's lifestyle.,"training, cycle, length"
sensitiveness,Sensitiveness,emotion,positive,both,"'Sensitiveness' is a emotion facet. Definition context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'sensitiveness'.",The turn expresses the opposite of sensitiveness (e.g. cold where sensitiveness is warm).,Little affective signal toward sensitiveness.,Affect is neutral or unrelated to sensitiveness.,"Clear emotional expression aligned with sensitiveness, but controlled.",Highly expressive of sensitiveness; the affect dominates the turn.,sensitiveness
negative-affect-frequency,Negative Affect Frequency,emotion,positive,both,"'Negative Affect Frequency' is a emotion facet. Definition context: Affect and emotional content: valence, arousal, specific emotions, emotional regulation, empathy, compassion. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'negative affect frequency'.",The turn expresses the opposite of negative affect frequency (e.g. cold where negative affect frequency is warm).,Little affective signal toward negative affect frequency.,Affect is neutral or unrelated to negative affect frequency.,"Clear emotional expression aligned with negative affect frequency, but controlled.",Highly expressive of negative affect frequency; the affect dominates the turn.,"negative, affect, frequency"
innovation-and-creativity-components,Innovation and Creativity Components,cognition_reasoning,positive,both,"'Innovation and Creativity Components' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'innovation and creativity components'.",No application of innovation and creativity components; reasoning is absent or wrong.,Superficial or partial application of innovation and creativity components.,Basic application of innovation and creativity components sufficient for the turn.,"Clear, correct application of innovation and creativity components with appropriate depth.","Sophisticated, fully-correct application of innovation and creativity components; demonstrates mastery.","innovation, and, creativity, components"
achievement-motivation,Achievement Motivation,cognition_reasoning,positive,both,"'Achievement Motivation' is a cognition reasoning facet. Definition context: Thinking processes: reasoning, problem-solving, learning, memory, creativity, common-sense. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'achievement motivation'.",No application of achievement motivation; reasoning is absent or wrong.,Superficial or partial application of achievement motivation.,Basic application of achievement motivation sufficient for the turn.,"Clear, correct application of achievement motivation with appropriate depth.","Sophisticated, fully-correct application of achievement motivation; demonstrates mastery.","achievement, motivation"
feedback-giving-frequency,Feedback-giving frequency,behavioral_lifestyle,positive,both,"'Feedback-giving frequency' is a behavioral lifestyle facet. Definition context: Habitual behaviour patterns: diet, activities, hobbies, lifestyle frequencies and counts. For this facet specifically, the score reflects how strongly the conversational turn exhibits 'feedback-giving frequency'.",No mention of feedback-giving frequency or explicit denial.,Mentions of feedback-giving frequency as occasional or rare.,Mentions of feedback-giving frequency at typical / average frequency.,Clear pattern of feedback-giving frequency as a regular activity.,feedback-giving frequency is described as central to the speaker's lifestyle.,"feedback, giving, frequency"
